name  from_junction  to_junction        qext_w  \
0           Sink_129107           1556         1557  0.000000e+00   
1           Sink_127293           1470         1471  6.150000e+04   
2           Sink_127222           1458         1459  6.633300e+04   
3           Sink_128285           1464         1465  4.763300e+04   
4           Sink_128595           1546         1547  6.280000e+04   
5           Sink_128600           1544         1545  5.776700e+04   
6           Sink_128440           1542         1543  1.680000e+04   
7           Sink_129109           1558         1559  5.866700e+04   
8           Sink_129149           1566         1567  8.350000e+04   
9           Sink_129272           1580         1581  4.810000e+04   
10          Sink_129285           1572         1573  7.423300e+04   
11          Sink_127340           1476         1477  9.700000e+04   
12          Sink_127302           1474         1475  8.543300e+04   
13          Sink_128333           1454         1455  7.546700e+04   
14          Sink_128334           1454         1455  9.150000e+04   
15          Sink_128253           1454         1455  1.400000e+04   
16          Sink_127650           1538         1539  9.456700e+04   
17          Sink_128286           1464         1465  5.693300e+04   
18          Sink_128233           1532         1533  2.930000e+04   
19          Sink_128231           1530         1531  4.033300e+04   
20          Sink_128433           1540         1541  7.000000e+03   
21          Sink_122930            454          455  7.166670e+05   
22   Neidonkallio_EMP_2            728          729  6.000000e+04   
23   Neidonkallio_EMP_1            574          575  1.200000e+04   
24        Kummihovi_EMP            686          687  1.770000e+05   
25          Kantvik_EMP            686          687  6.400000e+04   
26           Sink_99936           1114         1115  5.000000e+03   
27           Sink_99902           1032         1033  1.100000e+04   
28           Sink_99881           1260         1261  4.000000e+03   
29           Sink_99878            778          779  9.000000e+03   
30           Sink_99877           1258         1259  6.000000e+03   
31           Sink_99875           1256         1257  5.000000e+03   
32           Sink_99873           1254         1255  4.000000e+03   
33           Sink_99871           1252         1253  6.000000e+03   
34           Sink_99866           1034         1035  2.633300e+04   
35           Sink_99827           1244         1245  6.000000e+03   
36           Sink_99822             32           33  8.300000e+05   
37           Sink_99819            956          957  1.200000e+05   
38           Sink_99818            956          957  1.090000e+05   
39           Sink_99803           1162         1163  6.933300e+04   
40           Sink_99794           1144         1145  6.100000e+04   
41           Sink_99790           1140         1141  1.673330e+05   
42           Sink_99757           1234         1235  6.000000e+03   
43           Sink_99727            838          839  1.130000e+05   
44           Sink_99701            838          839  2.600000e+04   
45           Sink_99668           1220         1221  3.200000e+04   
46           Sink_99655            322          323  1.200000e+04   
47           Sink_99653           1218         1219  8.100000e+04   
48           Sink_99647           1218         1219  8.133300e+04   
49           Sink_99645           1034         1035  1.100000e+04   
50           Sink_99635           1216         1217  8.633300e+04   
51           Sink_99632           1214         1215  5.000000e+03   
52           Sink_99628           1210         1211  6.000000e+03   
53           Sink_99627           1210         1211  4.000000e+03   
54           Sink_99625           1194         1195  6.000000e+03   
55           Sink_99613           1136         1137  7.000000e+03   
56           Sink_99598            528          529  8.800000e+04   
57          Sink_128162           1528         1529  4.000000e+03   
58           Sink_99559           1154         1155  1.046670e+05   
59           Sink_99544           1536         1537  7.000000e+03   
60           Sink_99542           1206         1207  4.000000e+03   
61           Sink_99538           1202         1203  5.000000e+03   
62           Sink_99537           1202         1203  5.000000e+03   
63           Sink_99535           1200         1201  6.000000e+03   
64           Sink_99528           1272         1273  1.000000e+04   
65           Sink_99519           1042         1043  8.033300e+04   
66           Sink_99516           1042         1043  7.000000e+03   
67           Sink_99484           1186         1187  8.900000e+04   
68           Sink_99473            850          851  1.556670e+05   
69           Sink_99472            852          853  8.733300e+04   
70           Sink_99467           1184         1185  8.000000e+03   
71           Sink_99465           1122         1123  5.000000e+03   
72           Sink_99464           1182         1183  5.000000e+03   
73            Sink_9946            262          263  4.666700e+04   
74           Sink_99424            262          263  8.200000e+04   
75           Sink_99377           1172         1173  1.043330e+05   
76           Sink_99373           1170         1171  7.033300e+04   
77           Sink_99363           1166         1167  7.200000e+04   
78           Sink_99361           1164         1165  3.966700e+04   
79           Sink_99351           1162         1163  9.833300e+04   
80           Sink_99323           1112         1113  1.533330e+05   
81           Sink_99307            674          675  1.126670e+05   
82           Sink_99292            896          897  2.700000e+05   
83           Sink_99286            438          439  3.033300e+04   
84           Sink_99247            910          911  1.363330e+05   
85           Sink_99238           1146         1147  5.433300e+04   
86          Sink_127493           1506         1507  5.000000e+03   
87           Sink_99198            216          217  9.100000e+04   
88           Sink_99186           1190         1191  1.100000e+04   
89           Sink_99119           1136         1137  8.000000e+03   
90           Sink_99096           1126         1127  7.000000e+03   
91           Sink_99095           1126         1127  5.000000e+03   
92           Sink_99093           1180         1181  7.000000e+03   
93           Sink_99090           1124         1125  5.000000e+03   
94           Sink_99087           1122         1123  5.000000e+03   
95           Sink_99085           1120         1121  2.000000e+03   
96           Sink_99084           1120         1121  9.000000e+03   
97           Sink_99082            204          205  5.000000e+03   
98           Sink_99081           1098         1099  5.000000e+03   
99           Sink_99079           1118         1119  4.000000e+03   
