v_mean_m_per_s,p_from_bar,p_to_bar,t_from_k,t_to_k,mdot_from_kg_per_s,mdot_to_kg_per_s,vdot_norm_m3_per_s,reynolds,lambda,?,kp,D,hi,Bi,?
0.791122972,10,9.950506618,383.15,353.640625,96.34590359,-96.34590359,0.09635745,1053894.669,0.016808277,0.722954456,0.404,0.3938,2048.710768,998.4929462,0.010209386
1.067719003,7.090412045,7,308.15,308.15,130.030799,-130.030799,0.130046383,585544.6193,0.01685685,0.898912867,0.404,0.3938,1280.238489,623.9578178,0.227087479
2.276274065,10,9.993327433,383.15,353.640625,123.644238,-123.644238,0.123659057,2025152.812,0.018409152,0.722954456,0.355,0.263,4545.44152,1683.733972,0.362668123
2.715938037,7.009516016,7,308.15,308.15,147.5262115,-147.5262115,0.147543892,994758.9041,0.018441887,0.898912867,0.355,0.263,2573.855156,953.4139522,0.362668123
-1.230702135,7.933601631,8,308.15,308.15,-42.6621653,42.6621653,-0.042667278,360102.7009,0.014398576,0.898912867,0.293,0.2101,1179.559633,422.9103734,0.479280545
-0.738615578,7.998728449,8,308.15,308.15,-14.90470358,14.90470358,-0.01490649,164905.9612,0.015440746,0.898912867,0.282,0.1603,796.6029325,226.4103725,0.691277904
-1.06E-13,9.51966478,9.51966478,353.640625,353.640625,-1.54E-13,1.54E-13,-1.67E-16,1.30E-08,4942539788,0.78328105,0.614,0.0431,2.12819E-07,7.46947E-09,0.097400596
-1.06E-13,7.63398556,7.63398556,308.15,308.15,-1.54E-13,1.54E-13,-1.67E-16,6.52E-09,0.029668808,0.898912867,0.614,0.0431,1.22233E-07,4.29008E-09,#NUM!
0.223724908,9.932035901,9.925966038,353.640625,353.640625,0.326367356,-0.326367356,0.000326406,27444.1524,0.032000542,0.78328105,0.166,0.0431,415.4587463,53.93455412,#NUM!
0.223724908,7.129704886,7.123173336,308.15,308.15,0.326367356,-0.326367356,0.000326406,13428.30405,0.034435272,0.898912867,0.166,0.0431,234.5227518,30.44557411,#NUM!
0.151048636,9.215173403,9.21079732,353.640625,353.640625,0.352328396,-0.352328396,0.000352371,23429.95871,0.030422211,0.78328105,0.18,0.0545,313.9282883,47.52525476,#NUM!
0.151048636,7.943761908,7.938975708,308.15,308.15,0.352328396,-0.352328396,0.000352371,11464.17659,0.033272743,0.898912867,0.18,0.0545,177.209715,26.82758186,#NUM!
0.064980712,9.336268137,9.336261596,353.640625,353.640625,0.252192957,-0.252192957,0.000252223,13001.63614,0.030682564,0.78328105,0.205,0.0703,173.0350859,29.66918669,#NUM!
0.064980712,7.817278874,7.817271237,308.15,308.15,0.252192957,-0.252192957,0.000252223,6361.64385,0.035820007,0.898912867,0.205,0.0703,97.67676063,16.74799091,#NUM!
0.143098707,9.627661278,9.62593149,353.640625,353.640625,0.333784796,-0.333784796,0.000333825,22196.80299,0.030573845,0.78328105,0.18,0.0545,300.639178,45.51343112,#NUM!
0.143098707,7.545502226,7.543602168,308.15,308.15,0.333784796,-0.333784796,0.000333825,10860.79888,0.033582687,0.898912867,0.18,0.0545,169.708131,25.69192538,#NUM!
0.131438813,9.627326027,9.62555836,353.640625,353.640625,0.306587516,-0.306587516,0.000306624,20388.1746,0.03082943,0.78328105,0.18,0.0545,280.8768259,42.52163059,#NUM!
0.131438813,7.545956943,7.544001414,308.15,308.15,0.306587516,-0.306587516,0.000306624,9975.844895,0.034105301,0.898912867,0.18,0.0545,158.5524597,24.00308071,#NUM!
0.061015884,9.575332555,9.575203817,353.640625,353.640625,0.089009279,-0.089009279,8.90E-05,7484.768835,0.038219452,0.78328105,0.166,0.0431,146.9300959,19.07435883,#NUM!
0.061015884,7.575383154,7.575224355,308.15,308.15,0.089009279,-0.089009279,8.90E-05,3662.264741,0.047143936,0.898912867,0.166,0.0431,82.94072687,10.76730521,#NUM!
0.213555594,9.51966478,9.518917334,353.640625,353.640625,0.311532476,-0.311532476,0.00031157,26196.69092,0.032112122,0.78328105,0.614,0.0431,1480.558188,51.96421654,#NUM!
0.213555594,7.63479236,7.63398556,308.15,308.15,0.311532476,-0.311532476,0.00031157,12817.92659,0.034662247,0.898912867,0.614,0.0431,835.7618743,29.33333614,#NUM!
0.303384534,9.355360645,9.35514617,353.640625,353.640625,0.442573915,-0.442573915,0.000442627,37215.93393,0.031388283,0.78328105,0.614,0.0431,1960.701446,68.81615011,#NUM!
0.303384534,7.798079275,7.797852534,308.15,308.15,0.442573915,-0.442573915,0.000442627,18209.59413,0.033183098,0.898912867,0.614,0.0431,1106.798455,38.84610214,#NUM!
0.109179014,9.293143181,9.292420912,353.640625,353.640625,0.254665437,-0.254665437,0.000254696,16935.33858,0.031469345,0.78328105,0.18,0.0545,242.1298541,36.65576958,#NUM!
0.109179014,7.86095349,7.86014069,308.15,308.15,0.254665437,-0.254665437,0.000254696,8286.387292,0.035413742,0.898912867,0.18,0.0545,136.6801402,20.69185455,#NUM!
0.169068473,8.977536402,8.965695921,353.640625,353.640625,0.394360555,-0.394360555,0.000394408,26225.11168,0.030130386,0.78328105,0.18,0.0545,343.5477515,52.00931238,#NUM!
0.169068473,8.192649614,8.179808161,308.15,308.15,0.394360555,-0.394360555,0.000394408,12831.83275,0.03267765,0.898912867,0.18,0.0545,193.9296375,29.35879234,#NUM!
0.220478008,9.863137732,9.85396837,353.640625,353.640625,0.514275834,-0.514275834,0.000514337,34199.51868,0.029561996,0.78328105,0.18,0.0545,424.843745,64.31662251,#NUM!
0.220478008,7.26040921,7.250633992,308.15,308.15,0.514275834,-0.514275834,0.000514337,16733.67531,0.031515121,0.898912867,0.18,0.0545,239.8204998,36.30615899,#NUM!
0.194508243,9.85421576,9.849783454,353.640625,353.640625,0.453700075,-0.453700075,0.000453754,30171.20999,0.029811859,0.78328105,0.18,0.0545,384.3150707,58.18103154,#NUM!
0.194508243,7.27184227,7.267080785,308.15,308.15,0.453700075,-0.453700075,0.000453754,14762.64144,0.032025337,0.898912867,0.18,0.0545,216.9424251,32.84267269,#NUM!
0.171718449,9.519368666,9.519132608,353.640625,353.640625,0.400541755,-0.400541755,0.00040059,26636.16359,0.030093193,0.78328105,0.18,0.0545,347.8488502,52.66045094,#NUM!
0.171718449,7.634110948,7.633855217,308.15,308.15,0.400541755,-0.400541755,0.00040059,13032.95865,0.032600403,0.898912867,0.18,0.0545,196.3575693,29.72635424,#NUM!
0.208288119,9.519368666,9.519189181,353.640625,353.640625,0.485842314,-0.485842314,0.000485901,32308.67991,0.029670715,0.78328105,0.18,0.0545,405.9463159,61.45576171,#NUM!
0.208288119,7.634047209,7.633855217,308.15,308.15,0.485842314,-0.485842314,0.000485901,15808.49614,0.031738281,0.898912867,0.18,0.0545,229.1530698,34.69122862,#NUM!
0.116285746,9.65137418,9.650405881,353.640625,353.640625,0.074174399,-0.074174399,7.42E-05,9432.559556,0.040496826,0.78328105,0.134,0.0285,215.8245349,22.95148972,#NUM!
0.116285746,7.466067587,7.464929957,308.15,308.15,0.074174399,-0.074174399,7.42E-05,4615.310244,0.047578812,0.898912867,0.134,0.0285,121.8310224,12.95591097,#NUM!
0.215178056,9.291308726,9.282267019,353.640625,353.640625,0.501913434,-0.501913434,0.000501974,33377.41487,0.029607773,0.78328105,0.18,0.0545,416.6538421,63.0767622,#NUM!
0.215178056,7.871858323,7.862205431,308.15,308.15,0.501913434,-0.501913434,0.000501974,16331.4235,0.031608582,0.898912867,0.18,0.0545,235.1973727,35.60626892,#NUM!
0.077722029,9.336268137,9.33625864,353.640625,353.640625,0.301642556,-0.301642556,0.000301679,15550.97656,0.029874802,0.78328105,0.205,0.0703,199.6833712,34.23839267,#NUM!
0.077722029,7.8172821,7.817271237,308.15,308.15,0.301642556,-0.301642556,0.000301679,7609.024997,0.034171104,0.898912867,0.205,0.0703,112.7194797,19.32726688,#NUM!
0.106777797,9.262219029,9.262095183,353.640625,353.640625,0.155766238,-0.155766238,0.000155785,13098.34546,0.034554482,0.78328105,0.166,0.0431,229.9011803,29.84560503,#NUM!
0.106777797,7.893297248,7.893155124,308.15,308.15,0.155766238,-0.155766238,0.000155785,6408.963297,0.039654732,0.898912867,0.166,0.0431,129.777163,16.84757749,#NUM!
0.14660761,9.262203848,9.262183137,353.640625,353.640625,0.213869517,-0.213869517,0.000213895,17984.23623,0.033226967,0.78328105,0.166,0.0431,296.2658863,38.46102319,#NUM!
0.14660761,7.893196337,7.893173312,308.15,308.15,0.213869517,-0.213869517,0.000213895,8799.608337,0.036941528,0.898912867,0.166,0.0431,167.2394469,21.71090409,#NUM!
0.058142873,9.21507985,9.214863109,353.640625,353.640625,0.0370872,-0.0370872,3.71E-05,4716.279778,0.047282219,0.78328105,0.134,0.0285,123.9586441,13.18216924,#NUM!
0.058142873,7.939409408,7.93912774,308.15,308.15,0.0370872,-0.0370872,3.71E-05,2307.655122,0.06144619,0.898912867,0.134,0.0285,69.97354752,7.441216807,#NUM!
0.353846536,9.670143033,9.661124448,353.640625,353.640625,19.2204823,-19.2204823,0.019222786,264867.6461,0.018619537,0.78328105,0.355,0.263,892.961973,330.7732379,0.362668123
0.315989434,7.513341112,7.506028775,308.15,308.15,17.16413386,-17.16413386,0.017166191,115728.4237,0.018930435,0.898912867,0.355,0.263,460.4281474,170.5529616,0.362668123
-0.283839808,9.660472517,9.661124448,353.640625,353.640625,-15.4178081,15.4178081,-0.015419656,212464.936,0.018678665,0.78328105,0.355,0.263,748.5824628,277.2918137,0.362668123
-0.245982705,7.513341112,7.513841465,308.15,308.15,-13.36145966,13.36145966,-0.013363061,90088.00627,0.019087791,0.898912867,0.355,0.263,376.8282172,139.5856636,0.362668123
0.217792808,9.491186481,9.47745037,353.640625,353.640625,0.317713676,-0.317713676,0.000317752,26716.46654,0.032064438,0.78328105,0.166,0.0431,406.6223664,52.78742166,#NUM!
0.217792808,7.672415847,7.657608609,308.15,308.15,0.317713676,-0.317713676,0.000317752,13072.25053,0.034564972,0.898912867,0.166,0.0431,229.5346943,29.79802808,#NUM!
0.098842884,9.446611055,9.445034012,353.640625,353.640625,0.063048239,-0.063048239,6.31E-05,8017.675622,0.041694641,0.78328105,0.134,0.0285,189.5116681,20.15329306,#NUM!
0.098842884,7.707582689,7.705690511,308.15,308.15,0.063048239,-0.063048239,6.31E-05,3923.013707,0.05002594,0.898912867,0.134,0.0285,106.9776441,11.37635394,#NUM!
0.402796361,9.70902268,9.674308197,353.640625,353.640625,0.939542389,-0.939542389,0.000939655,62479.8899,0.02871418,0.78328105,0.18,0.0545,688.026931,104.1596326,#NUM!
0.402796361,7.40221453,7.366207499,308.15,308.15,0.939542389,-0.939542389,0.000939655,30571.13758,0.029783249,0.898912867,0.18,0.0545,388.3850577,58.79718235,#NUM!
0.145748683,9.73661402,9.731751387,353.640625,353.640625,0.339965996,-0.339965996,0.000340007,22607.8549,0.030521393,0.78328105,0.18,0.0545,305.0849043,46.18646467,#NUM!
0.145748683,7.342800173,7.33746679,308.15,308.15,0.339965996,-0.339965996,0.000340007,11061.92478,0.033475876,0.898912867,0.18,0.0545,172.2177037,26.07184682,#NUM!
0.003305858,9.651679143,9.651678968,353.640625,353.640625,0.02596104,-0.02596104,2.60E-05,940.8978157,0.091423988,0.78328105,1,0.1,72.60578057,3.630289029,1.609438995
0.003305858,7.464575527,7.464575216,308.15,308.15,0.02596104,-0.02596104,2.60E-05,460.3771969,0.162420273,0.898912867,1,0.1,40.98531469,2.049265734,1.609438995
0.091090501,9.604997997,9.60230831,353.640625,353.640625,0.058103279,-0.058103279,5.81E-05,7388.838319,0.042373657,0.78328105,0.134,0.0285,177.5244189,18.87852962,#NUM!
0.091090501,7.537252207,7.533988657,308.15,308.15,0.058103279,-0.058103279,5.81E-05,3615.326358,0.05141449,0.898912867,0.134,0.0285,100.210949,10.65676137,#NUM!
0.002676171,9.651371715,9.651371609,353.640625,353.640625,0.02101608,-0.02101608,2.10E-05,761.6791841,0.107428551,0.78328105,1,0.1,61.31332948,3.065666474,1.609438995
0.002676171,7.464934671,7.464934478,308.15,308.15,0.02101608,-0.02101608,2.10E-05,372.6863022,0.195130348,0.898912867,1,0.1,34.6108269,1.730541345,1.609438995
0.006139451,9.649744824,9.649744351,353.640625,353.640625,0.048213359,-0.048213359,4.82E-05,1747.381658,0.060029984,0.78328105,1,0.1,119.1372164,5.956860819,1.609438995
0.006139451,7.466781633,7.466780859,308.15,308.15,0.048213359,-0.048213359,4.82E-05,854.9862227,0.098258972,0.898912867,1,0.1,67.25189462,3.362594731,1.609438995
0.004092968,9.649238597,9.649238123,353.640625,353.640625,0.03214224,-0.03214224,3.21E-05,1164.921105,0.078343391,0.78328105,1,0.1,86.13396537,4.306698269,1.609438995
0.004092968,7.46736674,7.467365921,308.15,308.15,0.03214224,-0.03214224,3.21E-05,569.9908152,0.135685921,0.898912867,1,0.1,48.62185419,2.431092709,1.609438995
0.003305858,9.648954236,9.648954143,353.640625,353.640625,0.02596104,-0.02596104,2.60E-05,940.8978157,0.091423988,0.78328105,1,0.1,72.60578057,3.630289029,1.609438995
0.003305858,7.467699419,7.467699254,308.15,308.15,0.02596104,-0.02596104,2.60E-05,460.3771969,0.162420273,0.898912867,1,0.1,40.98531469,2.049265734,1.609438995
0.002676171,9.648769931,9.648769827,353.640625,353.640625,0.02101608,-0.02101608,2.10E-05,761.6791841,0.107428551,0.78328105,1,0.1,61.31332948,3.065666474,1.609438995
0.002676171,7.467918458,7.46791827,308.15,308.15,0.02101608,-0.02101608,2.10E-05,372.6863022,0.195130348,0.898912867,1,0.1,34.6108269,1.730541345,1.609438995
0.004092968,9.648526946,9.648526784,353.640625,353.640625,0.03214224,-0.03214224,3.21E-05,1164.921105,0.078343391,0.78328105,1,0.1,86.13396537,4.306698269,1.609438995
0.004092968,7.468211046,7.468210766,308.15,308.15,0.03214224,-0.03214224,3.21E-05,569.9908152,0.135685921,0.898912867,1,0.1,48.62185419,2.431092709,1.609438995
0.059889459,9.605393038,9.604642929,353.640625,353.640625,0.139695118,-0.139695118,0.000139712,9289.773104,0.034579277,0.78328105,0.18,0.0545,149.7674098,22.67312176,#NUM!
0.059889459,7.534413774,7.533507682,308.15,308.15,0.139695118,-0.139695118,0.000139712,4545.445456,0.041769981,0.898912867,0.18,0.0545,84.54236525,12.79877474,#NUM!
0.004092968,9.584148745,9.584147227,353.640625,353.640625,0.03214224,-0.03214224,3.21E-05,1164.921105,0.078343391,0.78328105,1,0.1,86.13396537,4.306698269,1.609438995
0.004092968,7.560490932,7.560488303,308.15,308.15,0.03214224,-0.03214224,3.21E-05,569.9908152,0.135685921,0.898912867,1,0.1,48.62185419,2.431092709,1.609438995
0.560736551,9.741131545,9.721849244,353.640625,353.640625,4.403486828,-4.403486828,0.004404015,159594.1914,0.023804665,0.78328105,1,0.1,4411.140544,220.5570272,1.609438995
0.560736551,7.399805185,7.38018384,308.15,308.15,4.403486828,-4.403486828,0.004404015,78088.74168,0.024223328,0.898912867,1,0.1,2490.049441,124.5024721,1.609438995
0.436433059,9.603758064,9.594981802,353.640625,353.640625,0.636663592,-0.636663592,0.00063674,53536.8882,0.030863762,0.78328105,0.166,0.0431,709.0723459,92.05125936,#NUM!
0.436433059,7.64227167,7.633140612,308.15,308.15,0.636663592,-0.636663592,0.00063674,26195.36586,0.032112122,0.898912867,0.166,0.0431,400.2650065,51.96211379,#NUM!
0.248037759,9.58923408,9.58331503,353.640625,353.640625,0.578560313,-0.578560313,0.00057863,38474.45852,0.029354095,0.78328105,0.213,0.0545,552.4059463,70.67165275,#NUM!
0.248037759,7.57727172,7.571002566,308.15,308.15,0.578560313,-0.578560313,0.00057863,18825.38472,0.031089783,0.898912867,0.213,0.0545,311.8282231,39.89351681,#NUM!
0.068924451,9.617814029,9.616777287,353.640625,353.640625,0.368399516,-0.368399516,0.000368444,16183.98552,0.0286026,0.78328105,0.259,0.0825,221.9480997,35.34887688,3.496509913
0.068924451,7.536016915,7.534830562,308.15,308.15,0.368399516,-0.368399516,0.000368444,7918.753516,0.032730103,0.898912867,0.259,0.0825,125.2877201,19.9541253,3.496509913
0.222030022,9.601789856,9.581285539,353.640625,353.640625,0.323894876,-0.323894876,0.000323934,27236.24215,0.032018661,0.78328105,0.166,0.0431,412.9389012,53.60742965,#NUM!
0.222030022,7.569081158,7.547006209,308.15,308.15,0.323894876,-0.323894876,0.000323934,13326.57448,0.034471512,0.898912867,0.166,0.0431,233.1003218,30.26091526,#NUM!
1.391552755,9.652389782,9.445127396,353.640625,353.640625,0.887620309,-0.887620309,0.000887727,112876.296,0.03427887,0.78328105,0.134,0.0285,1572.097108,167.1819686,#NUM!
1.391552755,7.703688234,7.492847621,308.15,308.15,0.887620309,-0.887620309,0.000887727,55229.87925,0.034871101,0.898912867,0.134,0.0285,887.434777,94.37272815,#NUM!
0.004092968,9.651479088,9.651478347,353.640625,353.640625,0.03214224,-0.03214224,3.21E-05,1164.921105,0.078343391,0.78328105,1,0.1,86.13396537,4.306698269,1.609438995
0.004092968,7.464808187,7.464806905,308.15,308.15,0.03214224,-0.03214224,3.21E-05,569.9908152,0.135685921,0.898912867,1,0.1,48.62185419,2.431092709,1.609438995
0.257047678,9.667544143,9.664465237,353.640625,353.640625,0.599576393,-0.599576393,0.000599648,39872.035,0.029294968,0.78328105,0.18,0.0545,480.3391165,72.71800514,#NUM!
0.257047678,7.571153557,7.567898572,308.15,308.15,0.599576393,-0.599576393,0.000599648,19509.2128,0.030970573,0.898912867,0.18,0.0545,271.1471413,41.04866445,#NUM!
0.017631245,9.601789856,9.601783748,353.640625,353.640625,0.138458878,-0.138458878,0.000138475,5018.121684,0.036157608,0.78328105,1,0.1,277.0576723,13.85288361,1.609438995
0.017631245,7.547014566,7.547006209,308.15,308.15,0.138458878,-0.138458878,0.000138475,2455.34505,0.049468994,0.898912867,1,0.1,156.3965816,7.81982908,1.609438995
0.116099668,9.603347034,9.602789394,353.640625,353.640625,0.169364878,-0.169364878,0.000169385,14241.85181,0.034162521,0.78328105,0.166,0.0431,245.8222665,31.91246893,#NUM!
0.116099668,7.54587319,7.545238989,308.15,308.15,0.169364878,-0.169364878,0.000169385,6968.475966,0.038852692,0.898912867,0.166,0.0431,138.764474,18.0143037,#NUM!
0.098842884,9.626568119,9.623494064,353.640625,353.640625,0.063048239,-0.063048239,6.31E-05,8017.675622,0.041694641,0.78328105,0.134,0.0285,189.5116681,20.15329306,#NUM!
0.098842884,7.539736373,7.536048041,308.15,308.15,0.063048239,-0.063048239,6.31E-05,3923.013707,0.05002594,0.898912867,0.134,0.0285,106.9776441,11.37635394,#NUM!
0.294910106,9.685205178,9.683013629,353.640625,353.640625,0.430211515,-0.430211515,0.000430263,36176.3827,0.031437874,0.78328105,0.166,0.0431,518.2128286,67.2740148,#NUM!
0.294910106,7.551447555,7.549127285,308.15,308.15,0.430211515,-0.430211515,0.000430263,17700.94625,0.033284187,0.898912867,0.166,0.0431,292.5265136,37.97558053,#NUM!
0.295757549,9.685205178,9.671379559,353.640625,353.640625,0.431447755,-0.431447755,0.000431499,36280.33783,0.031433105,0.78328105,0.166,0.0431,519.4037805,67.42862332,#NUM!
0.295757549,7.563762761,7.549127285,308.15,308.15,0.431447755,-0.431447755,0.000431499,17751.81104,0.033273697,0.898912867,0.166,0.0431,293.1987953,38.06285565,#NUM!
0.091090501,9.605393038,9.60228272,353.640625,353.640625,0.058103279,-0.058103279,5.81E-05,7388.838319,0.042373657,0.78328105,0.134,0.0285,177.5244189,18.87852962,#NUM!
0.091090501,7.537281606,7.533507682,308.15,308.15,0.058103279,-0.058103279,5.81E-05,3615.326358,0.05141449,0.898912867,0.134,0.0285,100.210949,10.65676137,#NUM!
0.058403498,9.831443366,9.831412878,353.640625,353.640625,0.458645035,-0.458645035,0.0004587,16622.52808,0.027254105,0.78328105,1,0.1,722.2622072,36.11311036,1.609438995
0.058403498,7.238452698,7.238417715,308.15,308.15,0.458645035,-0.458645035,0.0004587,8133.330478,0.031272888,0.898912867,1,0.1,407.7105654,20.38552827,1.609438995
0.003305858,9.584846539,9.584846204,353.640625,353.640625,0.02596104,-0.02596104,2.60E-05,940.8978157,0.091423988,0.78328105,1,0.1,72.60578057,3.630289029,1.609438995
0.003305858,7.559675923,7.559675328,308.15,308.15,0.02596104,-0.02596104,2.60E-05,460.3771969,0.162420273,0.898912867,1,0.1,40.98531469,2.049265734,1.609438995
0.004092968,9.584926212,9.584925678,353.640625,353.640625,0.03214224,-0.03214224,3.21E-05,1164.921105,0.078343391,0.78328105,1,0.1,86.13396537,4.306698269,1.609438995
0.004092968,7.559586581,7.559585655,308.15,308.15,0.03214224,-0.03214224,3.21E-05,569.9908152,0.135685921,0.898912867,1,0.1,48.62185419,2.431092709,1.609438995
0.002676171,9.584926212,9.584926064,353.640625,353.640625,0.02101608,-0.02101608,2.10E-05,761.6791841,0.107428551,0.78328105,1,0.1,61.31332948,3.065666474,1.609438995
0.002676171,7.559585925,7.559585655,308.15,308.15,0.02101608,-0.02101608,2.10E-05,372.6863022,0.195130348,0.898912867,1,0.1,34.6108269,1.730541345,1.609438995
0.004092968,9.584283851,9.584282556,353.640625,353.640625,0.03214224,-0.03214224,3.21E-05,1164.921105,0.078343391,0.78328105,1,0.1,86.13396537,4.306698269,1.609438995
0.004092968,7.560327852,7.560325609,308.15,308.15,0.03214224,-0.03214224,3.21E-05,569.9908152,0.135685921,0.898912867,1,0.1,48.62185419,2.431092709,1.609438995
0.058142873,9.674282439,9.673629411,353.640625,353.640625,0.0370872,-0.0370872,3.71E-05,4716.279778,0.047282219,0.78328105,0.134,0.0285,123.9586441,13.18216924,#NUM!
0.058142873,7.459544181,7.458695533,308.15,308.15,0.0370872,-0.0370872,3.71E-05,2307.655122,0.06144619,0.898912867,0.134,0.0285,69.97354752,7.441216807,#NUM!
0.051877353,9.653303974,9.65276898,353.640625,353.640625,0.467298714,-0.467298714,0.000467355,15813.40867,0.027029991,0.78328105,0.225,0.1071,145.7977002,34.69985265,1.374230174
0.051877353,7.463361768,7.462743164,308.15,308.15,0.467298714,-0.467298714,0.000467355,7737.43188,0.031254768,0.898912867,0.225,0.1071,82.30149964,19.58775691,1.374230174
0.032947628,9.722007146,9.721968937,353.640625,353.640625,0.02101608,-0.02101608,2.10E-05,2672.558541,0.057659149,0.78328105,0.134,0.0285,78.69351611,8.3685269,#NUM!
0.032947628,7.378585339,7.378530567,308.15,308.15,0.02101608,-0.02101608,2.10E-05,1307.671236,0.082653999,0.898912867,0.134,0.0285,44.42178703,4.723958695,#NUM!
0.23796785,9.84114733,9.836991388,353.640625,353.640625,0.555071753,-0.555071753,0.000555138,36912.46127,0.029423714,0.78328105,0.18,0.0545,451.5976121,68.36686072,#NUM!
0.23796785,7.232398264,7.227986715,308.15,308.15,0.555071753,-0.555071753,0.000555138,18061.10628,0.031233788,0.898912867,0.18,0.0545,254.9228188,38.59248229,#NUM!
0.004722655,9.717435915,9.717434996,353.640625,353.640625,0.0370872,-0.0370872,3.71E-05,1344.139737,0.071018219,0.78328105,1,0.1,96.58123774,4.829061887,1.609438995
0.004722655,7.383656774,7.383655213,308.15,308.15,0.0370872,-0.0370872,3.71E-05,657.6817098,0.120715141,0.898912867,1,0.1,54.51924613,2.725962307,1.609438995
0.002676171,9.717536836,9.717536622,353.640625,353.640625,0.02101608,-0.02101608,2.10E-05,761.6791841,0.107428551,0.78328105,1,0.1,61.31332948,3.065666474,1.609438995
